Rk,Player,,,Team,Conf,Role,Min%,PRPG!,D-PRPG,BPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,FTA,FT %,2PA,2P %,3P/100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Fr,4-Jun,Peter Bandelj,Cal Poly,BW,Wing G,62,2.7,1.5,0.8,122.1,114.6,18.8,52,59.8,5.1,13.3,15.3,13,0.2,1.1,65,117-145,0.807,68-123,0.553,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Jr,7-Jun,Kobe Young,Cal St. Fullerton,BW,Wing F,51.8,-0.6,1.5,-6.3,82.9,115,20.3,41.7,44.6,6.6,20.8,6.2,20.7,0.8,0.9,33.7,35-59,0.593,55-121,0.455,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sr,4-Jun,Marvin McGhee III,Cal St. Bakersfield,BW,Wing G,75.1,0.8,1.5,-3.9,103.9,117.2,16,44,48,1.8,13.4,6.5,13.1,0.1,0.8,19.4,45-52,0.865,34-80,0.425,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Fr,2-Jun,Aaron Hunkin-Claytor,Hawaii,BW,Scoring PG,43.1,0.4,1.5,0.2,102.6,106.8,15.8,44.5,49.5,2.3,12.7,26.5,21.9,0.8,2.3,44,28-40,0.7,27-68,0.397,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Sr,5-Jun,Niyi Olabode,UC Riverside,BW,Wing F,53.1,0.7,1.6,-0.3,110.2,110.2,12.7,50.7,52.5,6.3,15.7,7,15.5,1,1.5,14.2,15-20,0.75,28-58,0.483,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Jr,4-Jun,Jemel Jones,Cal St. Bakersfield,BW,Combo G,67.4,3.9,1.6,4.7,113.5,114.7,34,51.4,55.7,4.3,12.5,22,13.7,1.3,1.8,27,108-127,0.85,191-375,0.509,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Jr,3-Jun,CJ Hardy,Cal St. Bakersfield,BW,Combo G,62.4,1.8,1.6,-0.2,110.2,113.3,20.5,48.6,55.5,3.3,10.8,15.3,18.2,0.3,2.8,51.6,88-111,0.793,64-156,0.41,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,So,6-Jun,Nils Cooper,UC Davis,BW,Wing F,41.7,0.6,1.6,-2,113.4,105.2,11.9,47.3,54.3,8.7,13.8,5.8,12.7,0.9,2.1,65.8,35-48,0.729,33-61,0.541,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Sr,9-Jun,Austin Johnson,Long Beach St.,BW,C,69.2,0.4,1.7,-4.7,97.7,114.1,17.4,49.7,55,6.8,17.4,7.7,23.7,3.1,0.9,42.4,58-75,0.773,88-173,0.509,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,So,9-Jun,Derrick Michael Xzavierro,Long Beach St.,BW,PF/C,49.3,0.7,1.7,-2.1,105.3,109.5,15.4,46.5,50.6,14.1,21.2,5.7,17.2,6.7,1.3,37.4,30-43,0.698,46-89,0.517,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Jr,2-Jun,Donovan Oday,Cal St. Fullerton,BW,Wing G,60.3,1.4,1.7,-1.6,95.9,111.9,29,46.1,52.6,3.2,19.5,13.8,18.3,0.3,2,50.7,109-144,0.757,98-217,0.452,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Sr,6-Jun,Fidelis Okereke,Cal St. Bakersfield,BW,PF/C,59.6,0.6,1.7,-2.2,103.2,110.9,16.6,48.6,53.3,10.4,12.3,5.1,20.8,6.5,2.2,63.9,60-92,0.652,70-143,0.49,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Jr,Jun-00,Kody Williams,Hawaii,BW,Combo G,48,-0.7,1.7,-6.5,83.1,110.2,18.8,42.5,47.8,0.7,10.4,14.7,30.1,0.7,1,27.8,31-37,0.838,19-51,0.373,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Jr,1-Jun,Isaiah Moses,UC Riverside,BW,Scoring PG,66.4,2.2,1.7,-0.2,108,112.9,24,49.4,54.4,0.9,7.8,22.6,17.7,0.1,1.8,23.2,71-75,0.947,80-172,0.465,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
